te.name	contig	contig.start	contig.end	div	TE	te.start	te.end	strain	ref.chrom	ref.chromatin	ref.region	uniq.subs	grouping
Y_Contig26|86773-87290|-|	Y_Contig26	86774	87290	4.6	Jockey-3_DM	3723	4252	ISO1	Y	het	centromere	1	Clade4A
Y_Contig26|87286-87423|+|	Y_Contig26	87287	87423	4.4	Jockey-3_DM	4130	4266	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|87423-87552|-|	Y_Contig26	87424	87552	0.8	Jockey-3_DM	4163	4291	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|87593-88264|-|	Y_Contig26	87594	88264	3.7	Jockey-3_DM	2957	3724	ISO1	Y	het	centromere	0	Clade3
Y_Contig26|88263-91914|-|	Y_Contig26	88264	91914	0.7	Jockey-3_DM	646	4296	ISO1	Y	het	centromere	0	Clade1
Y_Contig26|91905-92319|-|	Y_Contig26	91906	92319	5.6	Jockey-3_DM	3723	4149	ISO1	Y	het	centromere	0	Clade4A
Y_Contig26|92315-92452|+|	Y_Contig26	92316	92452	4.4	Jockey-3_DM	4130	4266	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|92452-92581|-|	Y_Contig26	92453	92581	0.8	Jockey-3_DM	4163	4291	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|92623-93294|-|	Y_Contig26	92624	93294	3.7	Jockey-3_DM	2957	3724	ISO1	Y	het	centromere	0	Clade3
Y_Contig26|93293-97591|-|	Y_Contig26	93294	97591	0.9	Jockey-3_DM	1	4296	ISO1	Y	het	centromere	4	Clade1
Y_Contig26|97601-97958|-|	Y_Contig26	97602	97958	3.4	Jockey-3_DM	2604	2960	ISO1	Y	het	centromere	0	Clade3
Y_Contig26|98287-98400|+|	Y_Contig26	98288	98400	7.1	Jockey-3_DM	3665	3777	ISO1	Y	het	centromere	1	Clade4
Y_Contig26|98399-98751|+|	Y_Contig26	98400	98751	3.4	Jockey-3_DM	3934	4289	ISO1	Y	het	centromere	0	Clade4A
Y_Contig26|98751-98888|-|	Y_Contig26	98752	98888	3.6	Jockey-3_DM	4130	4266	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|98884-99438|+|	Y_Contig26	98885	99438	4.5	Jockey-3_DM	3723	4289	ISO1	Y	het	centromere	1	Clade4A
Y_Contig26|99438-99968|-|	Y_Contig26	99439	99968	5.3	Jockey-3_DM	3724	4266	ISO1	Y	het	centromere	2	Clade4A
Y_Contig26|99971-100126|+|	Y_Contig26	99972	100126	2.6	Jockey-3_DM	4136	4290	ISO1	Y	het	centromere	2	Clade2
Y_Contig26|100126-100335|-|	Y_Contig26	100127	100335	6.2	Jockey-3_DM	3516	3724	ISO1	Y	het	centromere	1	Clade3
Y_Contig26|100315-101150|-|	Y_Contig26	100316	101150	4	Jockey-3_DM	2604	3644	ISO1	Y	het	centromere	1	Clade3
Y_Contig26|101479-101592|+|	Y_Contig26	101480	101592	5.3	Jockey-3_DM	3665	3777	ISO1	Y	het	centromere	0	Clade4
Y_Contig26|101591-101946|+|	Y_Contig26	101592	101946	3.4	Jockey-3_DM	3934	4288	ISO1	Y	het	centromere	1	Clade4A
Y_Contig26|101946-102083|-|	Y_Contig26	101947	102083	3.6	Jockey-3_DM	4130	4266	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|102079-102610|+|	Y_Contig26	102080	102610	5.7	Jockey-3_DM	3723	4266	ISO1	Y	het	centromere	1	Clade4A
Y_Contig26|102610-102773|-|	Y_Contig26	102611	102773	3.7	Jockey-3_DM	4130	4292	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|102769-103325|+|	Y_Contig26	102770	103325	4.9	Jockey-3_DM	3723	4291	ISO1	Y	het	centromere	2	Clade4A
Y_Contig26|103325-103856|-|	Y_Contig26	103326	103856	6	Jockey-3_DM	3723	4266	ISO1	Y	het	centromere	1	Clade4A
Y_Contig26|103852-104013|+|	Y_Contig26	103853	104013	3.7	Jockey-3_DM	4130	4290	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|104013-104543|-|	Y_Contig26	104014	104543	6.4	Jockey-3_DM	3723	4266	ISO1	Y	het	centromere	5	Clade4A
Y_Contig26|104539-104700|+|	Y_Contig26	104540	104700	1.9	Jockey-3_DM	4130	4291	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|104700-104837|-|	Y_Contig26	104701	104837	5.1	Jockey-3_DM	4130	4266	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|104833-105170|+|	Y_Contig26	104834	105170	5.3	Jockey-3_DM	3723	4072	ISO1	Y	het	centromere	0	Clade4A
Y_Contig26|105185-105322|-|	Y_Contig26	105186	105322	4.4	Jockey-3_DM	4130	4266	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|105307-105852|+|	Y_Contig26	105308	105852	5	Jockey-3_DM	3740	4295	ISO1	Y	het	centromere	2	Clade4A
Y_Contig26|105913-106043|+|	Y_Contig26	105914	106043	4.6	Jockey-3_DM	4136	4266	ISO1	Y	het	centromere	1	Clade2
Y_Contig26|106043-106598|-|	Y_Contig26	106044	106598	5.6	Jockey-3_DM	3723	4290	ISO1	Y	het	centromere	1	Clade4A
Y_Contig26|106594-106754|+|	Y_Contig26	106595	106754	1.9	Jockey-3_DM	4130	4289	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|106754-106891|-|	Y_Contig26	106755	106891	4.4	Jockey-3_DM	4130	4266	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|106887-107443|+|	Y_Contig26	106888	107443	5.4	Jockey-3_DM	3723	4291	ISO1	Y	het	centromere	1	Clade4A
Y_Contig26|107443-107579|-|	Y_Contig26	107444	107579	4.4	Jockey-3_DM	4130	4266	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|107575-107880|+|	Y_Contig26	107576	107880	6.2	Jockey-3_DM	3723	4040	ISO1	Y	het	centromere	0	Clade4A
Y_Contig26|107885-108005|+|	Y_Contig26	107886	108005	3.3	Jockey-3_DM	4147	4266	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|108005-108164|-|	Y_Contig26	108006	108164	1.9	Jockey-3_DM	4130	4288	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|108160-108609|+|	Y_Contig26	108161	108609	6.5	Jockey-3_DM	3723	4184	ISO1	Y	het	centromere	1	Clade4A
Y_Contig26|108604-108907|-|	Y_Contig26	108605	108907	4.6	Jockey-3_DM	3907	4209	ISO1	Y	het	centromere	0	Clade4A
Y_Contig26|108908-108988|-|	Y_Contig26	108909	108988	2.5	Jockey-3_DM	4130	4209	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|108984-109538|+|	Y_Contig26	108985	109538	5.2	Jockey-3_DM	3723	4289	ISO1	Y	het	centromere	0	Clade4A
Y_Contig26|109538-109674|-|	Y_Contig26	109539	109674	4.4	Jockey-3_DM	4130	4266	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|109670-109975|+|	Y_Contig26	109671	109975	6.6	Jockey-3_DM	3723	4040	ISO1	Y	het	centromere	1	Clade4A
Y_Contig26|109980-110100|+|	Y_Contig26	109981	110100	3.3	Jockey-3_DM	4147	4266	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|110100-110258|-|	Y_Contig26	110101	110258	1.9	Jockey-3_DM	4130	4287	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|110254-110703|+|	Y_Contig26	110255	110703	6	Jockey-3_DM	3723	4184	ISO1	Y	het	centromere	0	Clade4A
Y_Contig26|110698-111001|-|	Y_Contig26	110699	111001	5	Jockey-3_DM	3907	4209	ISO1	Y	het	centromere	0	Clade4A
Y_Contig26|111002-111476|-|	Y_Contig26	111003	111476	6.1	Jockey-3_DM	3723	4209	ISO1	Y	het	centromere	2	Clade4A
Y_Contig26|111472-111633|+|	Y_Contig26	111473	111633	1.9	Jockey-3_DM	4130	4290	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|111633-111770|-|	Y_Contig26	111634	111770	4.4	Jockey-3_DM	4130	4266	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|111755-112271|+|	Y_Contig26	111756	112271	5.1	Jockey-3_DM	3740	4266	ISO1	Y	het	centromere	0	Clade4A
Y_Contig26|112271-112827|-|	Y_Contig26	112272	112827	4.7	Jockey-3_DM	3724	4292	ISO1	Y	het	centromere	0	Clade4A
Y_Contig26|112794-112887|-|	Y_Contig26	112795	112887	15.7	Jockey-3_DM	3723	3806	ISO1	Y	het	centromere	12	Clade4A
Y_Contig26|112883-113043|+|	Y_Contig26	112884	113043	3.1	Jockey-3_DM	4130	4289	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|113043-113592|-|	Y_Contig26	113044	113592	4.3	Jockey-3_DM	3199	3807	ISO1	Y	het	centromere	1	Clade3
Y_Contig26|113586-114142|-|	Y_Contig26	113587	114142	5	Jockey-3_DM	3723	4291	ISO1	Y	het	centromere	1	Clade4A
Y_Contig26|114138-114300|+|	Y_Contig26	114139	114300	2.5	Jockey-3_DM	4130	4291	ISO1	Y	het	centromere	1	Clade2
Y_Contig26|114300-114437|-|	Y_Contig26	114301	114437	4.4	Jockey-3_DM	4130	4266	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|114422-114936|+|	Y_Contig26	114423	114936	5.1	Jockey-3_DM	3740	4266	ISO1	Y	het	centromere	1	Clade4A
Y_Contig26|114936-115496|-|	Y_Contig26	114937	115496	5.2	Jockey-3_DM	3723	4295	ISO1	Y	het	centromere	2	Clade4A
Y_Contig26|115492-115629|+|	Y_Contig26	115493	115629	4.4	Jockey-3_DM	4130	4266	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|115629-116183|-|	Y_Contig26	115630	116183	5.2	Jockey-3_DM	3723	4289	ISO1	Y	het	centromere	2	Clade4A
Y_Contig26|116179-116339|+|	Y_Contig26	116180	116339	3.8	Jockey-3_DM	4130	4289	ISO1	Y	het	centromere	1	Clade2
Y_Contig26|116339-117458|-|	Y_Contig26	116340	117458	4.1	Jockey-3_DM	2604	3724	ISO1	Y	het	centromere	15	Clade3
Y_Contig26|117800-118401|+|	Y_Contig26	117801	118401	3.8	Jockey-3_DM	3665	4297	ISO1	Y	het	centromere	6	Clade4
Y_Contig26|122318-123015|+|	Y_Contig26	122319	123015	2.4	Jockey-3_DM	2604	3386	ISO1	Y	het	centromere	10	Clade3
Y_Contig26|123016-123170|-|	Y_Contig26	123017	123170	9.1	Jockey-3_DM	3949	4102	ISO1	Y	het	centromere	3	Clade4
Y_Contig26|123164-124356|+|	Y_Contig26	123165	124356	1.7	Jockey-3_DM	76	1278	ISO1	Y	het	centromere	2	Clade3
Y_Contig26|124355-124521|-|	Y_Contig26	124356	124521	4.8	Jockey-3_DM	3876	4041	ISO1	Y	het	centromere	0	Clade4
Y_Contig26|124571-125838|+|	Y_Contig26	124572	125838	1.5	Jockey-3_DM	1	1278	ISO1	Y	het	centromere	1	Clade3
Y_Contig26|125837-126003|-|	Y_Contig26	125838	126003	4.8	Jockey-3_DM	3876	4041	ISO1	Y	het	centromere	0	Clade4
Y_Contig26|126053-127299|+|	Y_Contig26	126054	127299	2.1	Jockey-3_DM	1	1263	ISO1	Y	het	centromere	5	Clade3
Y_Contig26|127278-128104|+|	Y_Contig26	127279	128104	3	Jockey-3_DM	1831	2650	ISO1	Y	het	centromere	6	Clade3
Y_Contig26|128102-128450|-|	Y_Contig26	128103	128450	4.6	Jockey-3_DM	3876	4223	ISO1	Y	het	centromere	1	Clade4
Y_Contig26|128500-130879|+|	Y_Contig26	128501	130879	3.2	Jockey-3_DM	1	2480	ISO1	Y	het	centromere	22	Clade3
Y_Contig4|562869-562903|+|	Y_Contig4	82538	82571	2.9	Jockey-3_DM	3853	3886	ISO1	Y	het	.	0	Heterochromatin
Y_Contig4|82537-82571|-|	Y_Contig4	562870	562903	2.9	Jockey-3_DM	3853	3886	ISO1	Y	het	.	0	Heterochromatin
Y_Contig70|5613-6048|+|	Y_Contig70	5614	6048	3	Jockey-3_DM	2447	2881	ISO1	Y	het	.	3	Heterochromatin
Y_Contig70|6052-6495|+|	Y_Contig70	6053	6495	4.7	Jockey-3_DM	3087	3559	ISO1	Y	het	.	1	Heterochromatin
Y_Contig70|6500-7022|+|	Y_Contig70	6501	7022	7.1	Jockey-3_DM	3271	3965	ISO1	Y	het	.	1	Heterochromatin
Y_Contig70|7027-7415|+|	Y_Contig70	7028	7415	4.9	Jockey-3_DM	3719	4183	ISO1	Y	het	.	0	Heterochromatin
Y_Contig70|7715-7822|+|	Y_Contig70	7716	7822	4.2	Jockey-3_DM	4184	4290	ISO1	Y	het	.	1	Heterochromatin
Y_Contig70|9233-10811|-|	Y_Contig70	9234	10811	2.3	Jockey-3_DM	1646	3240	ISO1	Y	het	.	0	Heterochromatin
Y_Contig70|11173-13687|+|	Y_Contig70	11174	13687	2.9	Jockey-3_DM	1380	4000	ISO1	Y	het	.	0	Heterochromatin
Y_Contig70|14560-16179|-|	Y_Contig70	14561	16179	2.8	Jockey-3_DM	1646	3564	ISO1	Y	het	.	0	Heterochromatin
Y_Contig70|16541-18423|+|	Y_Contig70	16542	18423	2.2	Jockey-3_DM	1380	3322	ISO1	Y	het	.	0	Heterochromatin
Y_Contig70|18421-18965|+|	Y_Contig70	18422	18965	5.8	Jockey-3_DM	3517	4106	ISO1	Y	het	.	1	Heterochromatin
Y_Contig74|53704-54187|-|	Y_Contig74	53705	54187	1.2	Jockey-3_DM	3811	4294	ISO1	Y	het	.	0	Heterochromatin
Y_Contig74|64194-64676|+|	Y_Contig74	64195	64676	1.2	Jockey-3_DM	3811	4293	ISO1	Y	het	.	0	Heterochromatin
Y_scaffold4|1127623-1127830|+|	Y_scaffold4	1127624	1127830	1.9	Jockey-3_DM	4087	4293	ISO1	Y	het	.	0	Heterochromatin
Y_scaffold4|1155351-1155554|+|	Y_scaffold4	1155352	1155554	2	Jockey-3_DM	4087	4289	ISO1	Y	het	.	0	Heterochromatin
Y_scaffold4|1159151-1159352|+|	Y_scaffold4	1159152	1159352	2	Jockey-3_DM	4095	4295	ISO1	Y	het	.	0	Heterochromatin
Y_scaffold4|1250817-1251027|+|	Y_scaffold4	1250818	1251027	1.9	Jockey-3_DM	4087	4296	ISO1	Y	het	.	1	Heterochromatin
Y_scaffold4|1281133-1281490|+|	Y_scaffold4	1281134	1281490	1.1	Jockey-3_DM	3922	4286	ISO1	Y	het	.	0	Heterochromatin
Y_scaffold4|1285370-1285728|+|	Y_scaffold4	1285371	1285728	1.4	Jockey-3_DM	3922	4287	ISO1	Y	het	.	0	Heterochromatin
Y_scaffold4|1659846-1660307|+|	Y_scaffold4	1659847	1660307	3.5	Jockey-3_DM	3840	4324	ISO1	Y	het	.	2	Heterochromatin
Y_scaffold4|1846105-1846969|+|	Y_scaffold4	1846106	1846969	3	Jockey-3_DM	3432	4297	ISO1	Y	het	.	2	Heterochromatin
Y_scaffold4|1888313-1889091|+|	Y_scaffold4	1888314	1889091	3.2	Jockey-3_DM	3432	4298	ISO1	Y	het	.	3	Heterochromatin
Y_scaffold4|2589422-2589550|-|	Y_scaffold4	2589423	2589550	3.1	Jockey-3_DM	4168	4295	ISO1	Y	het	.	1	Heterochromatin
Y_scaffold5|341448-344514|+|	Y_scaffold5	341449	344514	0.6	Jockey-3_DM	1195	4296	ISO1	Y	het	.	3	Heterochromatin
Y_scaffold5|346794-348945|+|	Y_scaffold5	346795	348945	0.8	Jockey-3_DM	1	2186	ISO1	Y	het	.	11	Heterochromatin
Y_scaffold5|349853-351307|+|	Y_scaffold5	349854	351307	1.9	Jockey-3_DM	2850	4303	ISO1	Y	het	.	8	Heterochromatin
Y_scaffold6|107027-108091|-|	Y_scaffold6	107028	108091	15.8	Jockey-3_DM	82	1196	ISO1	Y	het	.	NA	Heterochromatin
Y_scaffold7|19020-23280|+|	Y_scaffold7	19021	23280	0.9	Jockey-3_DM	1	4295	ISO1	Y	het	.	1	Heterochromatin
Y_scaffold7|689715-692269|+|	Y_scaffold7	689716	692269	1.5	Jockey-3_DM	1	2577	ISO1	Y	het	.	7	Heterochromatin
Y_scaffold7|693863-696430|+|	Y_scaffold7	693864	696430	1.4	Jockey-3_DM	1	2577	ISO1	Y	het	.	4	Heterochromatin
Y_scaffold7|698009-700579|+|	Y_scaffold7	698010	700579	1.4	Jockey-3_DM	1	2577	ISO1	Y	het	.	4	Heterochromatin
Y_scaffold7|702162-706449|+|	Y_scaffold7	702163	706449	1.5	Jockey-3_DM	1	4290	ISO1	Y	het	.	12	Heterochromatin
id13735|9766-12129|+|	id13735	9767	12129	16.5	Jockey-3_DM	1	2356	ISO1	.	het	.	NA	Heterochromatin
id13735|13413-13778|+|	id13735	13414	13778	19.7	Jockey-3_DM	3689	4062	ISO1	.	het	.	NA	Heterochromatin
id13809|9766-12129|+|	id13809	9767	12129	16.5	Jockey-3_DM	1	2356	ISO1	.	het	.	NA	Heterochromatin
id13809|13413-13778|+|	id13809	13414	13778	19.7	Jockey-3_DM	3689	4062	ISO1	.	het	.	NA	Heterochromatin
id5721|6495-10890|+|	id5721	6496	10890	11.7	Jockey-3_DM	5	4291	ISO1	.	het	.	NA	Heterochromatin
tig00002845|0-301|+|	tig00002845	1	301	12.5	Jockey-3_DM	3785	4077	ISO1	.	het	.	39	Heterochromatin
tig00002845|303-406|+|	tig00002845	304	406	14.8	Jockey-3_DM	4195	4296	ISO1	.	het	.	6	Heterochromatin
tig00022795|13724-14327|+|	tig00022795	13725	14327	4	Jockey-3_DM	2594	3208	ISO1	3	het	proximal_centromeric region	1	Heterochromatin
tig00022795|14326-14753|+|	tig00022795	14327	14753	4	Jockey-3_DM	3653	4078	ISO1	3	het	proximal_centromeric region	0	Heterochromatin
tig00022795|14754-14853|+|	tig00022795	14755	14853	9.1	Jockey-3_DM	4196	4296	ISO1	3	het	proximal_centromeric region	0	Heterochromatin
tig00022795|28713-29723|+|	tig00022795	28714	29723	8.5	Jockey-3_DM	2594	4078	ISO1	3	het	proximal_centromeric region	9	Heterochromatin
tig00022795|29724-29782|+|	tig00022795	29725	29782	7.2	Jockey-3_DM	4196	4252	ISO1	3	het	proximal_centromeric region	3	Heterochromatin
tig00051078|5939-6207|-|	tig00051078	5940	6207	3.1	Jockey-3_DM	4024	4288	ISO1	.	het	.	16	Heterochromatin
tig00057289|6095-6377|-|	tig00057289	6096	6377	5.3	Jockey-3_DM	3594	3878	ISO1	2	het	centromere	7	Non-Y Cent
tig00057289|6506-7863|+|	tig00057289	6507	7863	2.1	Jockey-3_DM	1	1412	ISO1	2	het	centromere	17	Non-Y Cent
